[INFO ] 2015-11-23 21:21:38,456 com.readtxt.Sentence - *************合成进度*************23
[INFO ] 2015-11-23 21:21:39,124 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:21:39,128 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:21:39,128 com.readtxt.Sentence - 合成音频生成路径：1_1.wav
[INFO ] 2015-11-23 21:21:39,170 com.readtxt.Sentence - 成功删除文件1_1.wav
[INFO ] 2015-11-23 21:21:39,610 com.readtxt.Sentence - *************合成进度*************25
[INFO ] 2015-11-23 21:21:39,857 com.readtxt.Sentence - *************合成进度*************56
[INFO ] 2015-11-23 21:21:40,186 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:21:40,187 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:21:40,187 com.readtxt.Sentence - 合成音频生成路径：2_1.wav
[INFO ] 2015-11-23 21:21:40,213 com.readtxt.Sentence - 成功删除文件2_1.wav
[INFO ] 2015-11-23 21:21:40,410 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:21:40,413 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:21:40,413 com.readtxt.Sentence - 合成音频生成路径：2_2.wav
[INFO ] 2015-11-23 21:21:40,437 com.readtxt.Sentence - 成功删除文件2_2.wav
[INFO ] 2015-11-23 21:21:45,781 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:21:45,784 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:21:45,784 com.readtxt.Sentence - 合成音频生成路径：2_3.wav
[INFO ] 2015-11-23 21:21:45,828 com.readtxt.Sentence - 成功删除文件2_3.wav
[INFO ] 2015-11-23 21:21:46,161 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:21:46,165 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:21:46,165 com.readtxt.Sentence - 合成音频生成路径：2_4.wav
[INFO ] 2015-11-23 21:21:46,206 com.readtxt.Sentence - 成功删除文件2_4.wav
[INFO ] 2015-11-23 21:21:50,082 com.readtxt.Sentence - *************合成进度*************34
[INFO ] 2015-11-23 21:21:50,439 com.readtxt.Sentence - *************合成进度*************78
[INFO ] 2015-11-23 21:21:50,443 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:21:50,452 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:21:50,453 com.readtxt.Sentence - 合成音频生成路径：3_1.wav
[INFO ] 2015-11-23 21:21:50,507 com.readtxt.Sentence - 无法删除文件3_1.wav，可能被占用
[INFO ] 2015-11-23 21:21:50,786 com.readtxt.Sentence - *************合成进度*************22
[INFO ] 2015-11-23 21:21:50,871 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:21:50,874 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:21:50,874 com.readtxt.Sentence - 合成音频生成路径：4_1.wav
[INFO ] 2015-11-23 21:21:50,889 com.readtxt.Sentence - 成功删除文件4_1.wav
